,2021-04-01T06:00:00.000000000,2021-04-01T12:00:00.000000000,2021-04-01T18:00:00.000000000,2021-04-02T00:00:00.000000000,2021-04-02T06:00:00.000000000,2021-04-02T12:00:00.000000000,2021-04-02T18:00:00.000000000,2021-04-03T00:00:00.000000000,2021-04-03T06:00:00.000000000,2021-04-03T12:00:00.000000000,2021-04-03T18:00:00.000000000,2021-04-04T00:00:00.000000000
0.0,-1.8849219327893797e-05,5.509450277578937e-05,3.676583263493818e-05,-5.8194846967310135e-05,-8.2115001707622e-06,7.85638015859941e-05,2.2650058312438193e-05,-7.785604282247973e-05,-5.3537622930149784e-05,4.596792507326037e-05,2.346092538656104e-05,-6.374451149305821e-05
1.0,0.0001204924922203086,8.673758776433676e-05,-2.7011985853109965e-05,-7.44075627997974e-05,2.003413438048502e-05,0.00010114030314297524,1.8411779808289248e-05,-9.77437342124871e-05,2.533337278414789e-06,0.00010771857571603092,4.562222705345153e-05,-7.2188626850148355e-06
2.0,-0.00010617026137996746,4.447507502362272e-05,9.18327924962359e-05,-5.081013473779036e-05,-2.213252473840956e-05,8.880571382970279e-05,3.5481466606519917e-05,-3.2435509290875074e-05,-1.985625839003277e-05,6.083672812207626e-05,4.562452806351978e-05,-6.601400109361879e-05
3.0,-0.00015505202118089366,-2.131398078781005e-05,7.352818071738771e-05,-1.6307421558191754e-05,-5.452631074477108e-05,8.080997393821636e-05,9.824551553104089e-05,-4.5930947951992784e-05,-7.286395877501085e-05,4.100093134351323e-05,8.370932289964041e-05,2.4616369024979224e-05
5.0,-2.7556938512642498e-05,1.0964080833406013e-05,2.0945656612079755e-05,-2.93777812120708e-06,-1.9782410801911735e-05,-1.5112876376726343e-05,2.1806034565408303e-05,3.268304333684758e-05,2.4417266991750722e-06,1.0547718982956704e-05,2.8620832893815976e-05,8.218365279480244e-06
7.0,-3.202387839566849e-06,1.8065570909302547e-05,-2.6597357569198696e-06,-1.8156529751631132e-05,2.7125049579011363e-06,9.185790814697965e-06,1.138981683749541e-05,1.2815005011949453e-05,1.849825781222076e-05,1.1711681868671256e-05,-4.172036239749454e-06,-1.8907811535906052e-05
10.0,-1.904846192022394e-05,-1.9293919512133115e-06,-1.7319498064652507e-05,-1.8636892654379755e-05,8.838843449103802e-09,8.565575448328091e-06,7.459764301523502e-06,-1.8547012479691695e-05,-7.81869293707044e-06,5.265752665561156e-07,-5.052257967650727e-06,-4.449860192824003e-06
15.0,1.2295818787461504e-05,2.2487488468424848e-05,3.3568386645038756e-06,-2.2420763127979407e-05,-8.244410481472734e-06,2.417376218968379e-05,1.5781350416247434e-05,-3.4991243411091384e-05,-2.8806131112255064e-05,-1.7564473618571072e-05,-3.3341887785720445e-05,-3.3582203492370034e-05
20.0,3.557502681688452e-05,2.9458526087505443e-05,1.239370103123543e-05,-1.408642219587014e-05,-1.800401549230108e-05,1.07915547691069e-05,2.3440182318888047e-05,-7.317680721450627e-06,-1.3931263783341398e-05,-7.781274465554785e-06,-3.576731212688406e-05,-5.029179670687337e-05
30.0,3.2425790022515826e-05,9.259672788903382e-06,-3.6243716479990137e-06,6.287413833724203e-06,1.113093843412897e-05,-1.0876104476402914e-05,-2.2728376526578122e-05,-2.8788024407597964e-06,1.0281665220147366e-05,1.744706055139729e-05,5.244870471576598e-07,-1.4884004893579233e-05
