,2021-04-01T06:00:00.000000000,2021-04-01T12:00:00.000000000,2021-04-01T18:00:00.000000000,2021-04-02T00:00:00.000000000,2021-04-02T06:00:00.000000000,2021-04-02T12:00:00.000000000,2021-04-02T18:00:00.000000000,2021-04-03T00:00:00.000000000,2021-04-03T06:00:00.000000000,2021-04-03T12:00:00.000000000,2021-04-03T18:00:00.000000000,2021-04-04T00:00:00.000000000
0.0,1.5456558767181378e-05,-1.94459786910825e-05,2.8534121208225733e-05,-1.8214454088879768e-05,8.541274074953684e-05,9.452519960101985e-06,1.9550120201844295e-05,4.038809687424778e-05,2.2088022539270136e-05,1.0908535897829428e-05,-2.6939264077947065e-05,3.233599108237186e-05
1.0,-1.549796681236101e-05,6.452592523615266e-06,1.3674894363348539e-05,-2.6915271601339474e-05,-3.0373480519240545e-06,1.4911978634271546e-05,-2.604470734149272e-05,-3.4187108243013704e-05,3.0908612429165186e-06,-1.7668852413537533e-05,-2.5387674425227947e-05,-1.845699660308093e-05
2.0,-2.210656223363451e-06,-2.6611944504383003e-05,-2.5825085972980624e-05,8.969304388143112e-06,5.629665851467853e-07,-3.471543620989325e-05,-1.4118543049733846e-05,-1.6206102341217566e-05,-1.8224596495997036e-05,-4.371361136387267e-05,-1.9733750931326404e-05,-1.408077757047162e-05
3.0,-6.70482530379161e-06,-3.84649079078422e-06,-7.2175406853660335e-06,-7.96661416049115e-06,-5.416289284267282e-06,-9.665774674951725e-06,-7.755519273298439e-06,5.820700717863036e-06,-4.339543042246336e-06,-1.241045138307789e-05,1.7671628953156563e-07,-1.0056896059053642e-05
5.0,-1.9444420830616935e-05,-8.018475494900397e-06,-1.8023809515964994e-06,-4.865232695799722e-06,-2.444246277482498e-06,-1.4073170550499281e-05,-2.1760641533324055e-05,-7.408660547357827e-06,-1.2060929107763036e-05,-1.810232417139141e-05,-7.166937134967979e-06,-9.32600040559931e-06
7.0,-6.313981097134482e-06,-1.0497231969073825e-05,-5.72272572833554e-06,-1.2674258330049603e-05,-7.592596184225615e-07,-4.120081397456038e-06,6.265756077234985e-08,1.6372479119772012e-06,-7.349904037212386e-07,-6.252004043644584e-06,-1.4983473865282363e-05,-1.0719488195742116e-05
10.0,-9.888132477434895e-06,-1.1521507613466775e-05,-9.679897178030671e-06,-5.22651466440112e-06,-9.031363343510368e-06,-1.0532821918553834e-05,-2.6037870584275884e-06,-2.2717589451842695e-06,7.987287327813489e-07,3.6795737313841303e-06,-8.760762768991887e-06,-2.09076319747541e-05
15.0,-7.56442586630211e-06,-9.559599738865013e-06,-7.061265209174273e-06,-2.7435630196185074e-06,-3.0947591611975962e-06,-3.747372790984539e-06,-6.01244867366097e-06,-1.2826985895077132e-05,-4.133409529900324e-06,-5.001463750190643e-06,-1.7294344933025262e-07,-5.647305161564183e-06
20.0,-3.657098941716654e-06,-5.05428037067203e-06,-3.941492145189399e-06,-5.124155371991192e-06,-4.600385926884201e-06,1.5674760059772527e-06,7.460804911036497e-07,-1.0916783345177143e-05,-7.950133470334577e-06,-3.2225081544213783e-06,-1.606852761764712e-06,-2.5475543427721596e-06
30.0,-5.400192434402776e-06,-4.382741503022031e-06,-1.017089008617432e-05,-6.3252610132246045e-06,-6.7955685893043915e-06,-2.9598889931079827e-06,-5.48928723307357e-06,-5.024827970400941e-06,-1.162658822992548e-06,-6.408087020573073e-06,-5.128600619969931e-06,2.126835394601126e-06
40.0,-9.629649877600651e-06,-5.3774633201688235e-06,-5.092726774997076e-06,-9.89841450891894e-06,-1.1448405026545139e-05,-5.526212521851213e-06,-5.080646126019535e-06,-8.518733751305189e-06,-4.982273101323509e-06,-3.7686979832079292e-06,-5.858013134273344e-06,-3.8898591680306845e-06
50.0,-8.307842740002469e-06,-1.1562771863029274e-05,-9.223099096390412e-06,-7.669231338326077e-06,-1.269303393743879e-05,-9.219511449896241e-06,-8.152015466602538e-06,-9.076405953684713e-06,-8.12253430715757e-06,-2.1878872858654934e-06,-4.655496017458112e-06,-7.592226592251006e-06
70.0,-3.848497946780605e-06,-1.015407607681615e-05,-2.411429920412778e-05,-1.4731575528562155e-05,-1.2051232955122513e-05,-1.3880722818244235e-05,-2.144913450941586e-05,-1.5691795463025835e-05,-1.0297500258034385e-05,-6.743093307016165e-06,-1.1690852208327501e-05,-7.563096684070287e-06
100.0,1.0663172785865022e-06,8.272517483078472e-07,-1.0127908905848508e-05,-1.233527536561319e-05,-7.491552944358297e-07,5.460666672341344e-06,-7.651714707095754e-06,-2.212003309115917e-06,3.4834571646210774e-06,1.1969290692376273e-06,-1.7483804822584206e-05,-5.101997292403894e-06
150.0,-1.2617318260758427e-06,-2.195933807377075e-06,-5.836068525779905e-06,-1.2214809620631002e-05,-2.3754501334713794e-05,-4.800159981048639e-06,-6.398317900445116e-06,1.2919347662989437e-05,2.688842771968336e-05,3.704041356385728e-05,2.7706018156760186e-05,-3.307313267351781e-06
