,2021-04-01T06:00:00.000000000,2021-04-01T12:00:00.000000000,2021-04-01T18:00:00.000000000,2021-04-02T00:00:00.000000000,2021-04-02T06:00:00.000000000,2021-04-02T12:00:00.000000000,2021-04-02T18:00:00.000000000,2021-04-03T00:00:00.000000000,2021-04-03T06:00:00.000000000,2021-04-03T12:00:00.000000000,2021-04-03T18:00:00.000000000,2021-04-04T00:00:00.000000000
200.0,-2.0304322972950404e-05,-1.47051633591863e-05,-7.054957016214106e-06,-8.786576122971168e-07,-1.0667563884056928e-05,-1.5068128696836305e-05,9.503133067525555e-06,1.938601868500696e-05,2.6491249163247117e-05,2.8622757616007207e-05,2.1593099881851574e-05,3.1223252594117635e-06
250.0,-2.1897252011646943e-05,-2.138799939953822e-05,-2.4113443630227942e-05,-2.452849654036201e-05,-3.1139742092792227e-05,-2.4232180973795873e-05,-1.6772363893189752e-05,-2.9546617166475896e-06,1.0389450010884857e-05,1.4404134663969855e-05,7.451378237281505e-06,-2.0543197622710517e-06
300.0,-1.147296239597007e-05,-1.8284770239935255e-05,-2.650150263232659e-05,-2.74011700029803e-05,-3.288652029162441e-05,-2.8792885360558713e-05,-1.3893731233002731e-05,-3.0086536291697e-06,4.0515093443247136e-06,3.934481719012383e-06,4.575295801589536e-06,-1.0531934956887114e-06
350.0,-1.6710102279687897e-05,-2.07195611888332e-05,-1.972659350184484e-05,-2.7801321322594035e-05,-2.892448564042297e-05,-3.52983181542447e-05,-2.054433732560146e-05,-8.26818683458323e-06,-3.378155072699537e-06,1.0402426528532378e-06,4.75462094811757e-06,9.97589557780613e-07
400.0,-1.1287186001906338e-05,-1.765178560819219e-05,-2.078922257386456e-05,-2.6739436636358173e-05,-2.6345647233468863e-05,-2.2375584816864015e-05,-1.5726868482676405e-05,-1.2258460976574702e-05,-1.0912346729077514e-05,-6.285731308151128e-06,-5.9551759496121e-06,-1.1979075391645612e-05
450.0,-1.592715943433644e-06,-7.239186857221537e-06,-1.6498901966597114e-05,-1.899964439641441e-05,-1.9835434943945012e-05,-1.6112740419609976e-05,-8.484731679186479e-06,-7.790024758936138e-06,-1.3995998760436643e-05,-1.0875861755793621e-05,-8.30160900776498e-06,-1.4898114224778154e-05
500.0,1.7135294663034726e-06,-1.7972495231887667e-06,-9.096473204256848e-06,-1.3306056769764255e-05,-1.2881467265530736e-05,-1.2398469336347387e-05,-6.336558408115399e-06,-4.139506918961169e-06,-1.002036189651821e-05,-9.872849321133459e-06,-8.844433301558125e-06,-1.0428041914900012e-05
550.0,3.004747078400394e-07,-5.539920424145085e-07,-5.007129084799322e-06,-7.657313055403479e-06,-7.64407018566032e-06,-7.858637972770242e-06,-4.917944813656126e-06,-3.970778090632472e-06,-5.585088447846601e-06,-6.5093540106827786e-06,-7.616084514294811e-06,-1.1479979218194389e-05
600.0,8.19456849787116e-08,-4.966189786738092e-07,-3.5809907344545905e-06,-6.5814477615968916e-06,-5.830466992403173e-06,-5.72471862317836e-06,-4.297080090016527e-06,-4.928344737665784e-06,-5.3510893431518555e-06,-4.536399880836695e-06,-7.122901359083786e-06,-1.3002387714720376e-05
650.0,-2.4508437498483455e-06,-1.8694093029046093e-06,-4.964808858980294e-06,-6.7946069732522506e-06,-7.195938666487017e-06,-4.727314897169841e-06,-5.068826096941903e-06,-6.933299079922964e-06,-6.36315524617375e-06,-4.192483537308293e-06,-8.669986539025494e-06,-1.3900193783742432e-05
700.0,-4.028979728451637e-06,-3.52214845191661e-06,-9.39911199608232e-06,-9.726286274211518e-06,-1.0875399570269372e-05,-5.928680078049546e-06,-7.685340051059402e-06,-9.34874903450009e-06,-6.863686472568676e-06,-4.82686021786402e-06,-9.565492166853536e-06,-1.4440848959551668e-05
750.0,-5.0592759788212e-06,-4.4539603295497706e-06,-1.1159960699888217e-05,-1.5981695863414503e-05,-1.2039686712703935e-05,-8.195488574942963e-06,-9.627838342846802e-06,-1.0599244541562618e-05,-6.8962631105919165e-06,-5.693593459592995e-06,-1.1239395292384089e-05,-1.4974738614686888e-05
800.0,-5.363810956108061e-06,-5.9498940966434166e-06,-1.475226991067148e-05,-2.5681690462679534e-05,-1.6386418632886795e-05,-1.0143185159345434e-05,-1.1308938311937737e-05,-1.255333978837488e-05,-7.432523790545018e-06,-5.266740342215311e-06,-1.2733864285988411e-05,-1.8119996755331485e-05
850.0,-6.632431818900403e-06,-1.1831854869910894e-05,-2.1373571691308653e-05,-3.334293702515987e-05,-3.283737864375003e-05,-2.0507463666213397e-05,-1.6694447691448522e-05,-1.8387392613432544e-05,-1.1624052379004762e-05,-1.128362910327034e-05,-1.7123128227368765e-05,-2.3020192780753837e-05
900.0,-1.4977150211924107e-05,-1.8400669324615863e-05,-3.031237618892734e-05,-3.646563786282744e-05,-3.720377327637913e-05,-3.172485420714771e-05,-3.0751308628965894e-05,-2.7129207328414464e-05,-1.9409842834372535e-05,-1.9798357532016352e-05,-2.3488149544439938e-05,-2.4537958857918686e-05
925.0,-1.6572518965160213e-05,-2.1252333921660677e-05,-3.1590075046748154e-05,-3.524254835477059e-05,-3.640338730934482e-05,-3.286286330055383e-05,-3.284329913005438e-05,-2.6513885013480708e-05,-1.9698881788924007e-05,-2.1232903174171014e-05,-2.4505689062204346e-05,-2.2471406246395917e-05
950.0,-1.81277492009811e-05,-2.218046260532441e-05,-3.1812080583904946e-05,-3.3994377358296913e-05,-3.645381861567331e-05,-3.3109934473572346e-05,-3.323662119738443e-05,-2.5908532753992953e-05,-2.0397995956414906e-05,-2.243743600902466e-05,-2.5545199104309554e-05,-2.220477687771823e-05
975.0,-1.923240049539571e-05,-2.2111359344168535e-05,-3.245995514522337e-05,-3.3235049828152715e-05,-3.69011984828566e-05,-3.414143131186188e-05,-3.365664774577382e-05,-2.6006600337524584e-05,-2.157262759309253e-05,-2.312565840845061e-05,-2.6244117532357963e-05,-2.2560448340131944e-05
1000.0,-1.9726879646200763e-05,-2.217651895004095e-05,-3.20642641511822e-05,-3.259771777346941e-05,-3.7460096142136004e-05,-3.49023546823914e-05,-3.371464933445774e-05,-2.6251160657589805e-05,-2.2463180253435518e-05,-2.3690929241803142e-05,-2.6420642955450732e-05,-2.2764158360513732e-05
