,2021-04-01T06:00:00.000000000,2021-04-01T12:00:00.000000000,2021-04-01T18:00:00.000000000,2021-04-02T00:00:00.000000000,2021-04-02T06:00:00.000000000,2021-04-02T12:00:00.000000000,2021-04-02T18:00:00.000000000,2021-04-03T00:00:00.000000000,2021-04-03T06:00:00.000000000,2021-04-03T12:00:00.000000000,2021-04-03T18:00:00.000000000,2021-04-04T00:00:00.000000000
150.0,-3.5379341558862405e-05,-1.1952799220719213e-05,-2.6154997971062923e-05,-3.718820775708217e-05,-2.6665353332502728e-05,-9.86616914833261e-06,-6.025091022385356e-06,-2.3260025670389952e-06,8.97052893874081e-06,2.4058458625964248e-05,2.244403760458227e-05,-2.298558345396431e-05
200.0,-2.006368486945951e-05,-8.3388519243301e-06,-1.020006857932996e-05,-3.041336301684548e-05,-3.680116749525349e-05,-1.6467412711350428e-06,-4.161074397700075e-07,-6.590045005960169e-06,4.298397581612813e-06,2.110095308604865e-05,6.065268935690854e-06,-2.1922442393911107e-05
250.0,-7.300509146596414e-06,7.35019539606923e-07,-1.4308690643282868e-05,-2.3261500879201335e-05,-3.2631769625752613e-05,-1.3372834054763465e-05,-1.3409645909580107e-05,-1.0954280789787569e-05,1.7930703037104004e-06,1.717950555507468e-05,5.776312389174854e-06,-3.049278511134517e-05
300.0,7.03495384983124e-06,3.3322499748867214e-06,6.524849221224761e-06,-6.159548715075488e-06,-2.1005146846427064e-05,-6.679239613403203e-06,-7.940568768577966e-06,-1.8619400681190464e-07,3.786968840614033e-06,9.38210909054665e-06,-4.252501466363061e-06,-1.933108112185127e-05
350.0,8.587142729455939e-06,1.0951135065038922e-05,6.807632699347387e-06,-4.766492257843708e-06,-1.5125215795153614e-05,-6.752044862222619e-06,-1.016935962783215e-05,-3.7086493051656716e-06,6.139928045650224e-06,5.4418623403802895e-06,-5.507587887171488e-06,-1.7453411411176963e-05
400.0,1.2796634019617817e-05,1.2726484908535014e-05,1.2805225894338274e-05,-6.294076636817239e-06,-1.6892272762109032e-05,-3.729245785568073e-06,-8.25441610509838e-06,-4.437580201613852e-06,3.2139091131435655e-06,3.0692323470478645e-06,-6.394811165577364e-06,-1.6991248139381286e-05
450.0,1.2423667089971205e-05,2.0373756124651433e-05,1.3663671779090862e-05,-8.278561080215368e-06,-1.2271397923877376e-05,7.332907360194213e-07,-5.4047918362585195e-06,-7.004000669244142e-06,-9.56817487535209e-07,4.5942623552783055e-06,-1.885347996387274e-06,-1.330526989420183e-05
500.0,4.1036663450794445e-06,1.5076852252054416e-05,1.1077608041907542e-05,-1.4307201620522244e-05,-7.68017979361855e-06,6.949838120283084e-06,-5.5989739180651476e-06,-8.964942632507709e-06,-2.82519962699531e-06,5.0874058644518996e-06,5.017735456854877e-06,-1.4043129711619237e-05
550.0,-1.86009505969998e-06,1.598365909286488e-05,7.829350832812599e-06,-1.5163568238143524e-05,-7.0040174165636215e-06,1.066729010674255e-05,-5.1274048679136455e-06,-1.288989379599235e-05,-5.082846743934419e-06,3.582370203214701e-06,4.306012695490629e-06,-1.9683426214158464e-05
600.0,-7.803875913835466e-06,1.9742469013478928e-05,6.374264654943539e-06,-1.756671647810654e-05,-1.236466912552693e-05,7.490048002048861e-06,-3.832629933309276e-06,-1.1990675926957592e-05,-8.739618849305644e-06,-3.4816741360673174e-06,-1.6058222168716687e-06,-2.3196408334854058e-05
650.0,-6.9971097816937785e-06,2.1874025322196896e-05,2.303830492848445e-06,-1.4605300316528207e-05,-1.5793249275013696e-05,2.1119253481758145e-06,-5.267278779754167e-06,-1.4058338324331224e-05,-1.381713745295506e-05,-3.7887414111621867e-06,-9.309898511679425e-06,-2.6449368825259136e-05
700.0,-3.3311133113557694e-06,2.066716237279611e-05,3.501088080095792e-06,-8.844184748519768e-06,-1.6146850309487343e-05,4.993341781039011e-08,-8.03560121106864e-06,-1.520417660663541e-05,-1.9640552248419447e-05,-4.396332302455369e-06,-1.0430762431539911e-05,-2.739350242798167e-05
750.0,1.586347848149853e-07,1.580170865960697e-05,3.689428506746615e-07,-8.309886519829134e-06,-1.9359125962609506e-05,-4.496374618452742e-06,-7.4266569983185255e-06,-1.4369886332982883e-05,-2.0228679610716306e-05,-6.784208613333246e-06,-9.30529133955515e-06,-3.242617608908543e-05
800.0,-1.859455594017591e-06,1.2972061830685312e-05,-9.037351651784337e-07,-8.387144682580906e-06,-2.2337628633149746e-05,-1.008784225600678e-05,-1.3318288588545663e-05,-1.8689385142911406e-05,-2.108487570644708e-05,-7.143867772926061e-06,-1.3946231229021138e-05,-3.551877490200787e-05
850.0,-1.885480516614028e-07,6.416510047935639e-06,-8.503473141509379e-07,-1.1365678085928237e-06,-1.3199307524570343e-05,-6.662357215011458e-06,-1.4138871855951982e-05,-1.658966830527931e-05,-1.7044256613139204e-05,-1.0101198269179839e-05,-1.3609620099636025e-05,-1.8936606696379658e-05
900.0,7.16522453700773e-06,9.635527901611405e-06,1.9054399723081143e-06,1.0114009080889545e-05,6.069674325816514e-06,1.1304918585999743e-05,4.7062760201585424e-07,2.206239695316196e-06,8.748055453733899e-07,3.2241697354969834e-06,-1.9455451847707837e-06,-6.439098421027734e-07
925.0,7.315593010083976e-06,8.795497331449824e-06,1.5378336633563217e-06,5.770602956301405e-06,4.070378055774152e-06,8.191343263788957e-06,3.776288092833547e-06,2.3026580621046616e-06,5.752283737365287e-07,2.7436727101377762e-06,-9.602548812909036e-07,2.292214295908289e-06
950.0,1.9778914806411906e-06,3.2942956779546085e-06,8.964342240434698e-07,7.484572302704443e-07,1.8723135725661953e-06,3.0055976462834645e-06,3.7300908634399282e-06,2.815202581891852e-07,-3.0228421072234277e-07,1.2228184350872144e-06,-1.8942470324317662e-07,6.126412460266946e-07
975.0,-4.956200463652124e-07,1.583055799984133e-06,1.8434108190877987e-06,-2.868420842059208e-07,-2.3337533661514845e-07,4.598766148679675e-07,2.812739728264751e-06,-6.4663670951912e-07,-1.1548597122967162e-06,5.445840116927239e-07,1.1749452814234186e-06,-3.986890784815747e-07
1000.0,-1.2809559635801902e-06,1.0775571072334584e-06,1.8631184377486042e-06,-9.278667835933137e-07,-1.6195227392389161e-06,4.386804565026144e-07,2.303097695191818e-06,-1.201199396049384e-06,-1.6542841328044954e-06,4.4196065061809005e-07,1.4194764891924026e-06,-5.791788529371451e-07
