,2021-04-01T06:00:00.000000000,2021-04-01T12:00:00.000000000,2021-04-01T18:00:00.000000000,2021-04-02T00:00:00.000000000,2021-04-02T06:00:00.000000000,2021-04-02T12:00:00.000000000,2021-04-02T18:00:00.000000000,2021-04-03T00:00:00.000000000,2021-04-03T06:00:00.000000000,2021-04-03T12:00:00.000000000,2021-04-03T18:00:00.000000000,2021-04-04T00:00:00.000000000
0.0,,,,,,,,,,,,
1.0,,,,,,,,,,,,
2.0,0.00012259215644490462,8.51701891144525e-05,-7.833701481945654e-05,2.438300817272572e-05,-5.5017153166828544e-05,5.520857335478459e-05,3.0442576405086056e-05,-0.0001235871864100657,8.247969575410745e-06,6.847608486553306e-05,9.371712815928154e-05,-6.395548092707886e-05
3.0,4.018712159655717e-05,0.00016019171670265237,-0.00012029413352294029,-5.346862899145787e-05,0.00015122143026436076,-4.341611978738437e-05,-0.0001070722961443588,-1.616179361996232e-05,9.415799106062495e-05,3.974545799730886e-05,-6.580367142860741e-05,-2.0273474857782785e-05
5.0,-0.00015868430514989683,2.7809662688037052e-05,-3.64267077307393e-05,-6.690459802384057e-05,-3.459880189262952e-05,9.540662923046221e-05,5.603136551148932e-06,-5.920271717951863e-05,-7.504574289699288e-05,4.2589469407395876e-05,-4.0492314279106806e-05,-1.594936087341002e-05
7.0,-4.301877906410151e-05,-3.291296342859463e-05,3.035092520563208e-05,-5.0906170089097534e-05,-3.392357224860433e-05,5.4244695881690675e-06,2.04692223229736e-05,-4.825663710066799e-05,-0.0001159375672314629,3.5136073234552046e-05,-3.353770268546123e-05,-5.770971825508435e-06
10.0,-5.4171200368563084e-05,-2.7891342958755512e-05,4.824423354432151e-05,-6.122276684737639e-05,-1.0013850149986016e-06,-1.1703025547839009e-05,-1.2941259676572997e-05,-2.0909850785147234e-05,-3.322626944613696e-05,4.4150947381754e-05,-3.630132916074668e-05,-4.082633951752945e-05
15.0,-5.3572596278887765e-05,-5.1932197599395034e-05,3.493330385003434e-06,-1.370197859804672e-05,-1.2772377952224707e-05,-3.6478405135665466e-05,-3.8013522561923925e-05,-4.881278810791911e-06,-1.06436371166314e-05,3.8994352661885615e-05,6.539515997261474e-05,-1.2886512713410891e-05
20.0,-3.404100101284013e-05,-8.140053452960729e-05,-3.61865719873035e-05,-1.1758744168909374e-05,4.7459816722321515e-07,-2.0868266786886962e-05,-4.784668687492928e-05,-2.8446859193893934e-05,-9.86362598072609e-06,-1.1045923134394513e-05,7.55161383057502e-05,1.9215529049845838e-05
30.0,-5.88240561882112e-05,-6.769611159628635e-05,-4.704337302436907e-06,-2.546006404252961e-05,-6.922036551308153e-05,1.0666576756764051e-05,4.202650980547699e-05,-6.574269295574674e-06,-4.047997302615718e-05,-3.949130854874694e-05,2.8663409279219627e-06,8.121952216166266e-06
40.0,-6.317916631227953e-05,-7.312875553566324e-05,8.451162231615265e-06,1.7746228901869612e-05,-8.859324949256698e-05,-3.1656953878290574e-05,3.639058049523268e-05,1.3318004468843878e-05,-5.624089679186953e-05,-4.760062766527951e-05,-9.074054720098449e-06,3.595460312334879e-05
50.0,-6.548164036999205e-05,-9.694827400805371e-05,-1.807773481572553e-05,3.000199728751859e-05,-4.167856408814373e-05,-7.969559415251934e-05,-7.1102636798566565e-06,2.9720051545409054e-05,-1.0888880971595328e-05,-6.212679106249007e-05,-3.478380497058564e-05,3.6181567561537425e-05
70.0,-2.2684482695369886e-05,-5.638616416888106e-05,-9.317294615872836e-05,-2.7137257191109994e-05,2.3031553399165943e-05,-4.443808551607882e-05,-6.879070367928953e-05,-5.938007094592311e-06,2.4314185549168987e-05,-1.5819288364055303e-05,-5.002070106165668e-05,-6.542107276687426e-06
100.0,-2.821538674157003e-05,-1.473487224322923e-05,-6.287951103936057e-05,-7.210828469518467e-05,-6.247051728185164e-06,2.7386902590366376e-06,-3.284465217340558e-05,-4.6093336090223815e-05,-7.394641351411417e-06,6.9735675154202965e-06,1.678416622952179e-05,-2.938391882688068e-05
